J8515632 GPS Records(1760)					
Time Range:2019-02-02 13:20:00 To 2019-02-03 14:46:00					
NO.	GPS Time	Latitude	Longitude	Speed(KM/H)	Direction
1	2019-02-02 13:20:31	24.853998	89.349743	0	West[274]
2	2019-02-02 13:21:47	24.856125	89.350089	17	North[9]
3	2019-02-02 13:22:17	24.857676	89.350374	16	North[12]
4	2019-02-02 13:23:17	24.860176	89.350898	39	North[10]
5	2019-02-02 13:28:43	24.861812	89.351200	26	North[14]
6	2019-02-02 13:29:13	24.864243	89.351716	38	North[8]
7	2019-02-02 13:29:43	24.867598	89.352356	50	North[7]
8	2019-02-02 13:30:13	24.870980	89.352249	42	North[356]
9	2019-02-02 13:30:43	24.874440	89.352000	41	North[352]
10	2019-02-02 13:31:13	24.878096	89.351805	48	North[4]
11	2019-02-02 13:32:43	24.881254	89.353298	35	Northeast[37]
12	2019-02-02 13:33:13	24.883996	89.355734	52	Northeast[38]
13	2019-02-02 13:33:43	24.886332	89.357823	36	Northeast[39]
14	2019-02-02 13:34:13	24.888334	89.359618	45	Northeast[40]
15	2019-02-02 13:34:43	24.889392	89.360312	11	North[349]
16	2019-02-02 13:35:13	24.891309	89.359849	38	North[353]
17	2019-02-02 13:35:43	24.894043	89.359476	30	North[347]
18	2019-02-02 13:36:13	24.897312	89.358623	54	North[339]
19	2019-02-02 13:36:43	24.900663	89.356418	54	North[340]
20	2019-02-02 13:37:13	24.904603	89.354969	55	Northwest[337]
21	2019-02-02 13:37:43	24.908203	89.353672	39	Northwest[337]
22	2019-02-02 13:38:13	24.911703	89.352409	48	North[346]
23	2019-02-02 13:38:43	24.914647	89.351627	36	North[347]
24	2019-02-02 13:39:13	24.917749	89.350694	35	North[339]
25	2019-02-02 13:39:43	24.920703	89.349716	38	North[344]
26	2019-02-02 13:40:13	24.923203	89.348889	32	North[341]
27	2019-02-02 13:40:43	24.925634	89.348534	34	North[3]
28	2019-02-02 13:41:13	24.929083	89.348427	51	North[355]
29	2019-02-02 13:41:43	24.932389	89.347956	39	North[350]
30	2019-02-02 13:42:13	24.935443	89.347485	46	North[353]
31	2019-02-02 13:42:43	24.938692	89.346996	40	North[350]
32	2019-02-02 13:43:13	24.941818	89.346552	40	North[356]
33	2019-02-02 13:43:43	24.944609	89.346774	23	North[13]
34	2019-02-02 13:44:13	24.946083	89.347138	31	North[8]
35	2019-02-02 13:44:43	24.948287	89.348045	34	Northeast[35]
36	2019-02-02 13:45:13	24.950143	89.349618	27	Northeast[37]
37	2019-02-02 13:45:43	24.951956	89.351067	7	Northeast[34]
38	2019-02-02 13:46:03	24.952234	89.350640	15	Northwest[312]
39	2019-02-02 13:46:33	24.952840	89.350018	10	Northwest[324]
40	2019-02-02 13:47:03	24.953480	89.349387	14	North[354]
41	2019-02-02 13:47:33	24.955183	89.349200	38	North[355]
42	2019-02-02 13:48:03	24.958372	89.349094	44	North[358]
43	2019-02-02 13:48:26	24.960532	89.348338	37	Northwest[327]
44	2019-02-02 13:48:49	24.961718	89.346596	28	Northwest[297]
45	2019-02-02 13:49:19	24.962329	89.345716	21	Northwest[307]
46	2019-02-02 13:49:49	24.963456	89.344614	29	Northwest[326]
47	2019-02-02 13:49:54	24.963858	89.344525	28	North[357]
48	2019-02-02 13:50:24	24.966716	89.343929	42	North[351]
49	2019-02-02 13:50:54	24.969558	89.343289	41	North[347]
50	2019-02-02 13:51:24	24.971654	89.342472	32	North[340]
51	2019-02-02 13:51:54	24.973589	89.341120	34	Northwest[319]
52	2019-02-02 13:52:24	24.976309	89.339005	44	Northwest[326]
53	2019-02-02 13:52:54	24.979518	89.337396	41	North[340]
